date,MARUTI.NS,M&M.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,EICHERMOT.NS,BHARATFORG.NS,BALKRISIND.NS,ASHOKLEY.NS,MRF.NS
02-03-2016,3612.649902,599.5750122,317.1000061,2230.300049,2806.699951,1932.189941,395.125,287.9500122,93.44999695,34063.85156
03-03-2016,3608.649902,607.6749878,336.7000122,2280.100098,2826,1932.839966,413.3500061,291.8500061,94.25,34066.05078
04-03-2016,3555.100098,608.1749878,343.5,2306.25,2835.850098,1925.849976,409,295.8250122,93.55000305,34226.69922
08-03-2016,3462.649902,609.7000122,346.0499878,2326.25,2809.550049,1980.204956,401.5,299.9750061,91.94999695,34455.85156
09-03-2016,3576.399902,617.7750244,347.7000122,2316.800049,2816.5,1993.375,413.375,298.1499939,97.15000153,34405.39844
10-03-2016,3627.199951,613.1749878,348.5,2324.600098,2812.399902,1979.994995,410.6749878,294.9750061,96.55000305,34415.64844
11-03-2016,3641.199951,610.25,354.25,2325.899902,2813.350098,2000.400024,408.2250061,301.1000061,97.09999847,34499.80078
14-03-2016,3648.149902,606.0250244,366.4500122,2316.600098,2816.300049,1984.984985,407.1499939,302.2000122,97.19999695,34601.75
15-03-2016,3654.550049,602.5250244,360.3999939,2278.449951,2813.050049,1954.829956,402,302.3250122,95.94999695,34356.44922
16-03-2016,3667.350098,606.0499878,359.5499878,2250,2798.300049,1869.344971,405.2749939,302.375,96.25,33454.35156
17-03-2016,3635.449951,599.2249756,360.8999939,2269.899902,2821.100098,1803.619995,412.7250061,303.6000061,95.25,33936.75
18-03-2016,3621.399902,611.2750244,366.0499878,2303.350098,2831,1841.344971,424.5249939,302.0499878,97.30000305,34716.89844
21-03-2016,3669.550049,613.9749756,374.7000122,2314.199951,2799.600098,1835.63501,437.8999939,302.2999878,103.0500031,34747.35156
22-03-2016,3699.550049,626.5750122,377.2000122,2310.800049,2861.5,1823.670044,438.875,309.625,103.5,34810.10156
23-03-2016,3736,624.6749878,377,2356.399902,2871.399902,1855.405029,444.25,309.9750061,106,35340.44922
28-03-2016,3638.949951,621.9249878,363.2999878,2357.350098,2848,1841.030029,439.3999939,303.1000061,104.75,36159.80078
29-03-2016,3729.949951,616.125,372.4500122,2351.949951,2856.850098,1863.344971,445.9750061,309.4249878,106.6500015,36915.5
30-03-2016,3727.449951,609.875,388.6000061,2422.449951,2923.800049,1873.680054,444.9249878,311.2999878,108.0500031,37912
31-03-2016,3716.300049,605.3499756,386.6000061,2405.949951,2945.699951,1918.060059,436.5499878,315.7000122,108.5999985,38296.75
01-04-2016,3723.199951,597.5999756,379.6499939,2419.850098,2951.050049,1925.405029,431.3500061,316.1000061,110.25,37255.05078
04-04-2016,3683.25,622.9500122,388.3999939,2448.25,2983.699951,1950.390015,423.5,316.1749878,110.0999985,36844.64844
05-04-2016,3554.850098,607.8499756,370.5,2394.850098,2963.300049,1873.550049,415.1000061,313.6749878,108.75,35742.14844
06-04-2016,3573.050049,610.1749878,376.7000122,2395.199951,2991.25,1917.984985,394.0750122,311.3250122,107.5500031,36174.64844
07-04-2016,3471,606.3250122,375.2000122,2378.449951,2968,1888.410034,388.2749939,306.5,106.9499969,35791.05078
08-04-2016,3430.649902,616.125,371.4500122,2389.449951,2915.699951,1918.119995,384.9500122,309.0499878,107.0500031,35468.25
11-04-2016,3478.649902,618,386.6499939,2433.850098,2976.550049,1938.890015,388.25,308.5249939,109.75,35800.69922
12-04-2016,3573.699951,619.9749756,395.7999878,2459.699951,3051.449951,1955.785034,402.4249878,315.0249939,111.3499985,36269.75
13-04-2016,3731.600098,666.2249756,408.75,2582.5,3148.050049,1989.630005,415.0249939,313.9500122,110.3499985,36595.80078
18-04-2016,3718.949951,670.3250122,407.3500061,2544.449951,3054.5,2026.834961,416.25,316.1749878,109.3000031,36740
20-04-2016,3670.050049,663.0250244,404.1000061,2532.800049,3039.100098,2051.120117,408.5,321.8999939,108.1500015,36816.25
21-04-2016,3705.300049,654.3250122,411.5,2496.449951,2986.300049,2032.880005,410.875,329.6749878,106.5500031,36012.80078
22-04-2016,3816.050049,663,417,2522.149902,2997.050049,2016.994995,407.7999878,326.6749878,105.3499985,35541.94922
25-04-2016,3727.949951,663.25,412.2000122,2543.75,2961.800049,1994.540039,397.1499939,328.9750061,105.9499969,35404.89844
26-04-2016,3871.550049,676.9249878,419.0499878,2548.100098,2931.850098,2014.839966,403.3250122,327.0750122,106.8000031,35721.05078
27-04-2016,3859.399902,692.375,418.5499878,2548.25,2949.899902,2011.430054,401.5,327.5750122,107.9499969,34786.25
28-04-2016,3747.949951,672.25,411.3500061,2487.5,2899.649902,2029.295044,396.5,336.3999939,105.4000015,34113.10156
29-04-2016,3794.649902,665.4749756,408.3500061,2491.949951,2897.399902,2003.5,399.0499878,332.9500122,106.8000031,33787.75
02-05-2016,3830.850098,668.2750244,407.7000122,2477.949951,2904.350098,1985.435059,404.5,332.125,105.9499969,34187
03-05-2016,3819.949951,662.9249878,409.6499939,2462.850098,2885.449951,1998.150024,398.75,336.8250122,105.0500031,33434.89844
04-05-2016,3811.550049,660.5,381.7999878,2460.300049,2894.449951,1976.084961,387.75,345.5750122,102,33715.05078
05-05-2016,3836.850098,660.4249878,391.1499939,2453.300049,2893.75,1968.665039,390.125,326.4750061,102.8000031,33835.89844
06-05-2016,3818.949951,665.4000244,398.7000122,2435.199951,2890.300049,2021.589966,389.7749939,325.9500122,104.1500015,33742.05078
09-05-2016,3846.5,674.7999878,403.3500061,2527.149902,2943.649902,2048.324951,395.3250122,327.875,104.8000031,33687.10156
10-05-2016,3844.800049,674.9500122,388.9500122,2530.050049,2957.800049,2023.920044,393,325.9750061,105.25,33333.39844
11-05-2016,3890.050049,674.0999756,379.8500061,2517.25,2961.550049,1997.685059,390.2999878,330.5750122,104.1999969,32848.14844
12-05-2016,3854.199951,667.2000122,387.0499878,2549.050049,2951,1975.305054,387.2000122,333.2749939,104.1500015,33297.39844
13-05-2016,3846.25,656.375,389.9500122,2517.699951,2912.600098,1899.280029,375.6499939,334.1749878,102.8499985,32907.05078
16-05-2016,3881.600098,658.1500244,392.7000122,2512.100098,2900.600098,1906.314941,376.875,333.8250122,103.5,33031
17-05-2016,3950.699951,670.9749756,389.7000122,2506.550049,2932.449951,1860.165039,375.2999878,334.5499878,102.9000015,32810.19922
18-05-2016,3914.899902,663,384.8500061,2461.699951,2878.449951,1872,368.0249939,335.1499939,102.1999969,32874.39844
